anzsic06,Area,year,geo_count,ec_count
A,A100100,2000,96,130
A,A100200,2000,198,110
A,A100300,2000,42,25
A,A100400,2000,66,40
A,A100500,2000,63,40
A,A100600,2000,21,12
A,A100700,2000,45,60
A,A100800,2000,36,60
A,A100900,2000,78,18
A,A101000,2000,42,9
A,A101100,2000,39,35
A,A101200,2000,105,20
A,A101300,2000,99,30
A,A101400,2000,42,12
A,A101500,2000,57,9
A,A101600,2000,54,15
A,A101700,2000,81,25
A,A101800,2000,63,50
A,A101900,2000,75,50
A,A102000,2000,123,30
A,A102100,2000,63,9
A,A102200,2000,108,160
A,A102300,2000,150,80
A,A102400,2000,39,45
A,A102500,2000,51,25
A,A102600,2000,114,80
A,A102700,2000,60,18
A,A102800,2000,39,160
A,A102900,2000,57,9
A,A103000,2000,39,40
A,A103100,2000,81,230
A,A103200,2000,84,35
A,A103300,2000,66,30
A,A103400,2000,78,70
A,A103500,2000,57,70
A,A103600,2000,48,6
A,A103700,2000,12,18
A,A103800,2000,9,9
A,A103900,2000,9,12
A,A104000,2000,39,30
A,A104100,2000,102,55
A,A104200,2000,12,6
A,A104300,2000,6,0
A,A104400,2000,24,3
A,A104500,2000,12,0
A,A104600,2000,15,3
A,A104700,2000,111,45
A,A104800,2000,270,180
A,A104900,2000,213,45
A,A105000,2000,6,3
A,A105100,2000,129,90
A,A105200,2000,27,25
A,A105300,2000,147,100
A,A105400,2000,330,190
A,A105500,2000,39,18
A,A105600,2000,51,9
A,A105700,2000,42,6
A,A105800,2000,6,0
A,A105900,2000,12,6
A,A106000,2000,9,0
A,A106100,2000,9,0
A,A106200,2000,15,0
A,A106300,2000,66,20
A,A106400,2000,3,0
A,A106500,2000,15,18
A,A106600,2000,15,6
A,A106700,2000,54,21
A,A106800,2000,0,0
A,A106900,2000,27,12
A,A107000,2000,3,0
A,A107100,2000,30,120
A,A107200,2000,12,35
A,A107300,2000,6,3
A,A107400,2000,3,0
A,A107500,2000,6,0
A,A107600,2000,27,3
A,A107700,2000,60,30
A,A107800,2000,267,100
A,A107900,2000,9,25
A,A108000,2000,81,20
A,A108100,2000,3,0
A,A108200,2000,3,0
A,A108300,2000,12,0
A,A108400,2000,18,12
A,A108500,2000,66,30
A,A108600,2000,201,60
A,A108700,2000,12,0
A,A108800,2000,33,9
A,A108900,2000,18,40
A,A109000,2000,111,40
A,A109100,2000,489,320
A,A109200,2000,336,210
A,A109300,2000,72,80
A,A109400,2000,396,150
A,A109500,2000,162,100
A,A109600,2000,54,30
A,A109700,2000,165,110
A,A109800,2000,96,40
A,A109900,2000,15,0
A,A110000,2000,3,0
A,A110100,2000,12,6
A,A110200,2000,192,65
A,A110300,2000,3,0
A,A110400,2000,291,120
A,A110500,2000,60,30
A,A110600,2000,0,0
A,A110700,2000,177,120
A,A110800,2000,141,40
A,A110900,2000,81,30
A,A111100,2000,33,6
A,A111200,2000,201,140
A,A111300,2000,57,30
A,A111400,2000,24,12
A,A111500,2000,72,160
A,A111600,2000,156,75
A,A111700,2000,6,15
A,A111800,2000,27,18
A,A111900,2000,18,6
A,A112000,2000,0,0
A,A112100,2000,72,30
A,A112200,2000,15,6
A,A112300,2000,84,110
A,A112400,2000,18,15
A,A112500,2000,69,9
A,A112600,2000,54,12
A,A112700,2000,6,0
A,A112800,2000,3,0
A,A112900,2000,3,0
A,A113000,2000,9,3
A,A113200,2000,57,30
A,A113300,2000,9,3
A,A113400,2000,51,25
A,A113500,2000,42,45
A,A113600,2000,6,0
A,A113700,2000,24,0
A,A113800,2000,18,3
A,A113900,2000,3,0
A,A114000,2000,9,3
A,A114100,2000,12,0
A,A114200,2000,18,35
A,A114300,2000,6,9
A,A114400,2000,0,0
A,A114500,2000,6,0
A,A114600,2000,3,0
A,A114700,2000,96,110
A,A114800,2000,18,6
A,A114900,2000,6,3
A,A115000,2000,48,21
A,A115300,2000,30,3
A,A115400,2000,3,0
A,A115500,2000,45,30
A,A115600,2000,36,45
A,A115700,2000,3,0
A,A115800,2000,3,0
A,A115900,2000,15,75
A,A116000,2000,3,15
A,A116100,2000,96,130
A,A116200,2000,0,0
A,A116300,2000,21,50
A,A116400,2000,75,40
A,A116500,2000,3,0
A,A116600,2000,15,60
A,A116700,2000,6,15
A,A116800,2000,0,0
A,A116900,2000,6,0
A,A117000,2000,114,250
A,A117100,2000,21,9
A,A117200,2000,3,0
A,A117300,2000,3,0
A,A117600,2000,3,0
A,A117700,2000,0,0
A,A118000,2000,39,40
A,A118100,2000,0,0
A,A118200,2000,6,0
A,A118300,2000,3,0
A,A118400,2000,0,60
A,A118600,2000,3,50
A,A118700,2000,3,0
A,A118800,2000,6,55
A,A118900,2000,6,0
A,A119200,2000,6,9
A,A119400,2000,0,3
A,A119500,2000,3,0
A,A119600,2000,3,3
A,A119700,2000,3,0
A,A120000,2000,0,0
A,A120100,2000,9,21
A,A120200,2000,15,45
A,A120300,2000,6,0
A,A120500,2000,0,0
A,A120600,2000,3,0
A,A120700,2000,6,9
A,A120900,2000,0,0
A,A121100,2000,24,3
A,A121300,2000,0,0
A,A121500,2000,0,0
A,A121600,2000,6,0
A,A121700,2000,3,20
A,A121800,2000,0,0
A,A121900,2000,3,0
A,A122000,2000,0,0
A,A122100,2000,0,0
A,A122200,2000,3,0
A,A122300,2000,3,0
A,A122500,2000,3,0
A,A122600,2000,3,0
A,A122700,2000,0,0
A,A122800,2000,3,0
A,A123100,2000,0,0
A,A123200,2000,3,30
A,A123300,2000,3,25
A,A123400,2000,0,0
A,A123500,2000,3,0
A,A123700,2000,6,0
A,A123800,2000,6,3
A,A123900,2000,3,0
A,A124100,2000,3,0
A,A124200,2000,6,6
A,A124300,2000,0,0
A,A124500,2000,0,0
A,A124700,2000,18,25
A,A124900,2000,3,120
A,A125000,2000,3,9
A,A125100,2000,3,0
A,A125300,2000,0,0
A,A125700,2000,3,0
A,A125800,2000,3,0
A,A125900,2000,6,0
A,A126000,2000,6,9
A,A126100,2000,0,0
A,A126200,2000,0,0
A,A126300,2000,0,0
A,A126400,2000,3,0
A,A126500,2000,0,0
A,A126600,2000,6,3
A,A126700,2000,3,0
A,A126800,2000,3,0
A,A126900,2000,3,0
A,A127000,2000,3,3
A,A127300,2000,0,0
A,A127400,2000,3,0
A,A127500,2000,6,30
A,A127600,2000,15,6
A,A127700,2000,0,3
A,A127900,2000,0,0
A,A128000,2000,12,0
A,A128100,2000,3,0
A,A128200,2000,0,3
A,A128300,2000,0,6
A,A128400,2000,3,0
A,A128500,2000,3,0
A,A128600,2000,3,3
A,A128700,2000,0,0
A,A128900,2000,3,9
A,A129000,2000,0,0
A,A129100,2000,6,3
A,A129300,2000,6,0
A,A129500,2000,3,0
A,A129600,2000,3,9
A,A129700,2000,3,0
A,A129800,2000,0,0
A,A129900,2000,3,0
A,A130000,2000,24,40
A,A130100,2000,3,0
A,A130200,2000,0,0
A,A130300,2000,0,0
A,A130400,2000,0,0
A,A130600,2000,0,0
A,A130700,2000,9,0
A,A130800,2000,3,6
A,A130900,2000,3,0
A,A131000,2000,3,0
A,A131100,2000,3,0
A,A131200,2000,0,0
A,A131300,2000,15,12
A,A131400,2000,3,0
A,A131500,2000,0,0
A,A131700,2000,0,6
A,A132100,2000,3,0
A,A132200,2000,0,0
A,A132400,2000,0,3
A,A132500,2000,3,0
A,A132600,2000,0,0
A,A132700,2000,0,0
A,A132800,2000,0,0
A,A132900,2000,0,0
A,A133200,2000,15,3
A,A133300,2000,45,55
A,A133700,2000,6,0
A,A134000,2000,3,3
A,A134200,2000,3,9
A,A134300,2000,3,0
A,A134400,2000,0,0
A,A134500,2000,3,0
A,A134600,2000,3,0
A,A135100,2000,3,0
A,A135200,2000,0,0
A,A135300,2000,3,0
A,A135400,2000,0,0
A,A135500,2000,3,0
A,A135600,2000,3,0
A,A135700,2000,3,0
A,A136000,2000,6,35
A,A136100,2000,0,9
A,A136200,2000,0,0
A,A136300,2000,3,0
A,A136400,2000,9,0
A,A136500,2000,3,3
A,A136600,2000,0,12
A,A136700,2000,6,0
A,A136800,2000,6,0
A,A136900,2000,3,0
A,A137000,2000,0,0
A,A137400,2000,0,0
A,A137500,2000,3,0
A,A137800,2000,3,0
A,A138100,2000,6,0
A,A138300,2000,0,0
A,A138400,2000,6,0
A,A138500,2000,12,3
A,A138600,2000,3,0
A,A138700,2000,6,0
A,A138800,2000,3,0
A,A139200,2000,3,0
A,A139400,2000,6,0
A,A139500,2000,0,0
A,A139700,2000,0,0
A,A139800,2000,0,0
A,A140000,2000,6,0
A,A140100,2000,3,0
A,A140200,2000,0,0
A,A140300,2000,6,0
A,A140500,2000,3,0
A,A140700,2000,0,0
A,A140800,2000,0,0
A,A140900,2000,3,3
A,A141000,2000,6,0
A,A141100,2000,6,0
A,A141200,2000,3,0
A,A141300,2000,0,0
A,A141400,2000,6,0
A,A141500,2000,0,0
A,A141600,2000,0,0
A,A141800,2000,3,0
A,A142000,2000,3,6
A,A142200,2000,3,0
A,A142600,2000,3,0
A,A142700,2000,6,0
A,A142800,2000,0,0
A,A143000,2000,0,0
A,A143100,2000,3,0
A,A143200,2000,3,3
A,A143300,2000,3,0
A,A143400,2000,6,0
A,A143500,2000,3,0
A,A143600,2000,0,0
A,A143700,2000,0,0
A,A143800,2000,3,9
A,A144000,2000,3,0
A,A144100,2000,3,3
A,A144200,2000,3,0
A,A144300,2000,0,0
A,A144500,2000,0,0
A,A144600,2000,15,6
A,A145000,2000,0,3
A,A145100,2000,6,0
A,A145200,2000,3,0
A,A145400,2000,3,35
A,A145500,2000,9,6
A,A145600,2000,3,0
A,A145800,2000,0,0
A,A145900,2000,9,3
A,A146000,2000,3,0
A,A146100,2000,0,6
A,A146200,2000,3,3
A,A146300,2000,0,3
A,A146400,2000,0,3
A,A146500,2000,0,0
A,A146600,2000,3,0
A,A146700,2000,3,0
A,A146800,2000,3,140
A,A146900,2000,6,6
A,A147000,2000,3,0
A,A147100,2000,0,0
A,A147200,2000,3,0
A,A147400,2000,3,3
A,A147500,2000,6,9
A,A147600,2000,3,0
A,A147800,2000,3,0
A,A147900,2000,27,120
A,A148000,2000,3,0
A,A148100,2000,3,0
A,A148200,2000,18,30
A,A148300,2000,6,0
A,A148400,2000,0,0
A,A148500,2000,6,3
A,A148600,2000,6,21
A,A148700,2000,18,40
A,A148800,2000,3,0
A,A148900,2000,0,0
A,A149000,2000,0,0
A,A149100,2000,0,45
A,A149300,2000,0,0
A,A149400,2000,0,9
A,A149500,2000,0,0
A,A149700,2000,3,0
A,A149800,2000,6,0
A,A149900,2000,282,75
A,A150100,2000,6,65
A,A150200,2000,3,0
A,A150300,2000,6,3
A,A150500,2000,3,0
A,A150600,2000,3,3
A,A150700,2000,3,0
A,A150800,2000,3,0
A,A150900,2000,9,30
A,A151000,2000,6,0
A,A151100,2000,3,0
A,A151200,2000,3,0
A,A151300,2000,0,3
A,A151400,2000,0,0
A,A151500,2000,3,0
A,A151600,2000,3,25
A,A151700,2000,30,35
A,A151800,2000,3,3
A,A151900,2000,3,0
A,A152000,2000,0,0
A,A152100,2000,6,0
A,A152200,2000,6,0
A,A152300,2000,9,40
A,A152400,2000,0,0
A,A152600,2000,3,6
A,A152800,2000,6,9
A,A153000,2000,3,0
A,A153100,2000,0,0
A,A153300,2000,3,0
A,A153400,2000,0,0
A,A153600,2000,0,0
A,A153700,2000,3,0
A,A153800,2000,3,0
A,A153900,2000,3,0
A,A154200,2000,0,0
A,A154600,2000,3,0
A,A154700,2000,3,0
A,A154800,2000,0,0
A,A154900,2000,3,0
A,A155000,2000,3,0
A,A155100,2000,0,0
A,A155300,2000,3,0
A,A155500,2000,18,12
A,A155600,2000,0,0
A,A155900,2000,6,3
A,A156000,2000,3,9
A,A156100,2000,3,0
A,A156200,2000,3,0
A,A156400,2000,6,0
A,A156700,2000,0,0
A,A156800,2000,0,0
A,A157000,2000,0,15
A,A157100,2000,114,55
A,A157200,2000,3,3
A,A157400,2000,12,0
A,A157600,2000,3,0
A,A157700,2000,0,0
A,A157800,2000,0,0
A,A158000,2000,0,3
A,A158100,2000,0,0
A,A158200,2000,3,0
A,A158300,2000,0,0
A,A158500,2000,3,3
A,A158600,2000,6,0
A,A158800,2000,0,0
A,A158900,2000,6,6
A,A159000,2000,0,0
A,A159100,2000,0,0
A,A159200,2000,0,0
A,A159300,2000,3,3
A,A159400,2000,12,6
A,A159600,2000,6,9
A,A159800,2000,120,55
A,A159900,2000,3,15
A,A160100,2000,0,0
A,A160300,2000,3,0
A,A160500,2000,0,35
A,A160700,2000,15,3
A,A160800,2000,0,3
A,A160900,2000,3,0
A,A161000,2000,3,0
A,A161100,2000,0,0
A,A161200,2000,3,3
A,A161300,2000,0,0
A,A161400,2000,198,110
A,A161600,2000,27,45
A,A161700,2000,0,3
A,A161800,2000,0,0
A,A161900,2000,0,0
A,A162000,2000,3,0
A,A162100,2000,6,9
A,A162200,2000,3,0
A,A162300,2000,87,220
A,A162400,2000,171,170
A,A162500,2000,21,18
A,A162600,2000,3,3
A,A162700,2000,111,80
A,A162800,2000,0,0
A,A162900,2000,108,80
A,A163000,2000,3,0
A,A163100,2000,6,0
A,A163200,2000,15,3
A,A163300,2000,0,0
A,A163400,2000,9,25
A,A163500,2000,9,0
A,A163600,2000,6,0
A,A163700,2000,6,0
A,A163800,2000,129,140
A,A163900,2000,0,0
A,A164000,2000,6,0
A,A164100,2000,6,3
A,A164200,2000,0,3
A,A164300,2000,72,100
A,A164400,2000,6,12
A,A164500,2000,0,0
A,A164600,2000,153,170
A,A164700,2000,21,3
A,A164800,2000,9,0
A,A164900,2000,24,110
A,A165000,2000,162,470
A,A165100,2000,138,150
A,A165200,2000,81,50
A,A165300,2000,42,80
A,A165400,2000,27,50
A,A165500,2000,18,9
A,A165700,2000,12,30
A,A165800,2000,12,25
A,A165900,2000,12,25
A,A166000,2000,24,9
A,A166100,2000,3,6
A,A166200,2000,48,110
A,A166300,2000,135,160
A,A166400,2000,114,18
A,A166500,2000,93,70
A,A166600,2000,3,6
A,A166700,2000,63,70
A,A166800,2000,27,25
A,A166900,2000,66,18
A,A167000,2000,21,15
A,A167100,2000,51,18
A,A167200,2000,27,6
A,A167300,2000,6,25
A,A167400,2000,99,65
A,A167500,2000,21,3
A,A167600,2000,9,6
A,A167700,2000,12,15
A,A167800,2000,12,6
A,A167900,2000,54,18
A,A168000,2000,27,9
A,A168100,2000,33,9
A,A168200,2000,9,0
A,A168300,2000,111,50
A,A168400,2000,33,9
A,A168500,2000,48,75
A,A168600,2000,60,35
A,A168700,2000,219,100
A,A168800,2000,153,70
A,A168900,2000,60,25
A,A169000,2000,186,110
A,A169100,2000,234,90
A,A169200,2000,48,40
A,A169300,2000,261,150
A,A169400,2000,15,3
A,A169500,2000,30,35
A,A169600,2000,24,6
A,A169700,2000,255,200
A,A169800,2000,108,65
A,A169900,2000,99,320
A,A170000,2000,30,25
A,A170100,2000,153,100
A,A170200,2000,117,75
A,A170300,2000,24,12
A,A170400,2000,45,40
A,A170500,2000,30,6
A,A170600,2000,162,530
A,A170700,2000,138,70
A,A170800,2000,129,120
A,A170900,2000,237,190
A,A171000,2000,6,30
A,A171100,2000,27,18
A,A171200,2000,258,180
A,A171300,2000,165,75
A,A171400,2000,18,6
A,A171500,2000,15,21
A,A171600,2000,36,6
A,A171700,2000,321,180
A,A171800,2000,195,110
A,A171900,2000,117,80
A,A172000,2000,12,3
A,A172100,2000,18,15
A,A172200,2000,12,0
A,A172300,2000,159,140
A,A172400,2000,84,65
A,A172500,2000,36,12
A,A172600,2000,12,40
A,A172700,2000,21,18
A,A172800,2000,108,45
A,A172900,2000,36,9
A,A173000,2000,99,930
A,A173100,2000,156,170
A,A173200,2000,117,30
A,A173300,2000,138,140
A,A173400,2000,93,160
A,A173500,2000,324,140
A,A173600,2000,285,160
A,A173700,2000,318,130
A,A173800,2000,294,130
A,A173900,2000,36,25
A,A174000,2000,48,190
A,A174100,2000,33,20
A,A174200,2000,57,20
A,A174300,2000,174,65
A,A174400,2000,273,110
A,A174500,2000,279,220
A,A174600,2000,123,80
A,A174700,2000,177,110
A,A174800,2000,192,170
A,A174900,2000,66,65
A,A175000,2000,66,15
A,A175100,2000,153,100
A,A175200,2000,36,65
A,A175300,2000,3,0
A,A175400,2000,21,12
A,A175500,2000,6,6
A,A175600,2000,12,25
A,A175700,2000,3,0
A,A175800,2000,9,12
A,A176000,2000,3,0
A,A176100,2000,18,3
A,A176200,2000,9,0
A,A176300,2000,9,55
A,A176400,2000,3,0
A,A176500,2000,6,9
A,A176600,2000,6,0
A,A176700,2000,0,0
A,A176800,2000,6,0
A,A176900,2000,9,3
A,A177000,2000,6,0
A,A177100,2000,3,0
A,A177200,2000,0,0
A,A177300,2000,0,0
A,A177400,2000,3,0
A,A177500,2000,3,0
A,A177600,2000,6,0
A,A177700,2000,9,3
A,A177800,2000,3,0
A,A177900,2000,6,25
A,A178000,2000,3,0
A,A178100,2000,18,25
A,A178200,2000,6,0
A,A178300,2000,3,12
A,A178400,2000,0,0
A,A178500,2000,0,3
A,A178600,2000,21,6
A,A178800,2000,9,3
A,A178900,2000,6,9
A,A179000,2000,12,25
A,A179100,2000,6,9
A,A179200,2000,18,40
A,A179300,2000,12,3
A,A179400,2000,9,0
A,A179500,2000,9,3
A,A179600,2000,6,15
A,A179700,2000,3,3
A,A180000,2000,0,0
A,A180100,2000,0,0
A,A180200,2000,6,15
A,A180300,2000,3,15
A,A180400,2000,6,6
A,A180500,2000,3,3
A,A180600,2000,3,0
A,A180700,2000,6,15
A,A180800,2000,12,12
A,A180900,2000,3,0
A,A181000,2000,3,0
A,A181100,2000,6,3
A,A181200,2000,21,25
A,A181300,2000,18,15
A,A181400,2000,141,60
A,A181500,2000,147,140
A,A181600,2000,75,130
A,A181700,2000,138,60
A,A181800,2000,120,100
A,A181900,2000,18,12
A,A182000,2000,117,140
A,A182100,2000,189,150
A,A182200,2000,117,210
A,A182300,2000,69,40
A,A182400,2000,21,25
A,A182500,2000,237,170
A,A182600,2000,0,3
A,A182700,2000,24,15
A,A182800,2000,15,70
A,A182900,2000,9,25
A,A183000,2000,12,9
A,A183100,2000,126,250
A,A183200,2000,27,18
A,A183300,2000,24,15
A,A183400,2000,9,3
A,A183500,2000,9,150
A,A183600,2000,12,9
A,A183700,2000,9,15
A,A183800,2000,6,3
A,A183900,2000,12,3
A,A184000,2000,9,3
A,A184100,2000,15,50
A,A184200,2000,30,15
A,A184300,2000,21,9
A,A184400,2000,15,6
A,A184500,2000,18,3
A,A184600,2000,303,220
A,A184700,2000,27,25
A,A184800,2000,24,60
A,A184900,2000,120,85
A,A185000,2000,147,130
A,A185100,2000,0,0
A,A185200,2000,159,120
A,A185300,2000,162,80
A,A185400,2000,153,110
A,A185500,2000,102,110
A,A185600,2000,318,240
A,A185700,2000,213,200
A,A185800,2000,327,190
A,A185900,2000,378,270
A,A186000,2000,66,300
A,A186100,2000,147,120
A,A186200,2000,15,190
A,A186300,2000,12,15
A,A186400,2000,0,0
A,A186500,2000,6,0
A,A186600,2000,3,0
A,A186700,2000,57,240
A,A186800,2000,12,70
A,A187000,2000,186,200
A,A187100,2000,123,140
A,A187200,2000,219,280
A,A187300,2000,48,25
A,A187400,2000,51,110
A,A187500,2000,189,180
A,A187600,2000,6,0
A,A187700,2000,219,240
A,A187800,2000,159,90
A,A187900,2000,87,160
A,A188000,2000,60,40
A,A188200,2000,60,30
A,A188300,2000,12,3
A,A188400,2000,3,18
A,A188500,2000,21,90
A,A188600,2000,12,360
A,A188700,2000,15,75
A,A188800,2000,6,70
A,A188900,2000,6,0
A,A189000,2000,3,21
A,A189100,2000,6,65
A,A189200,2000,9,21
A,A189300,2000,18,90
A,A189400,2000,3,6
A,A189500,2000,0,30
A,A189600,2000,24,35
A,A189700,2000,27,75
A,A189800,2000,12,85
A,A189900,2000,6,25
A,A190100,2000,36,65
A,A190200,2000,12,3
A,A190300,2000,186,150
A,A190400,2000,15,6
A,A190500,2000,402,210
A,A190600,2000,210,250
A,A190700,2000,6,0
A,A190800,2000,24,35
A,A190900,2000,291,100
A,A191000,2000,54,35
A,A191100,2000,102,45
A,A191200,2000,222,210
A,A191300,2000,159,70
A,A191400,2000,204,65
A,A191500,2000,84,70
A,A191600,2000,93,70
A,A191700,2000,174,100
A,A191800,2000,255,240
A,A191900,2000,159,200
A,A192000,2000,462,470
A,A192100,2000,81,220
A,A192200,2000,9,0
A,A192300,2000,24,35
A,A192400,2000,9,25
A,A192500,2000,387,340
A,A192600,2000,9,9
A,A192700,2000,81,30
A,A192800,2000,6,0
A,A192900,2000,3,0
A,A193000,2000,27,25
A,A193100,2000,12,30
A,A193200,2000,9,6
A,A193300,2000,12,12
A,A193400,2000,6,9
A,A193500,2000,33,35
A,A193600,2000,6,0
A,A193700,2000,0,0
A,A193800,2000,45,110
A,A193900,2000,12,12
A,A194000,2000,3,0
A,A194100,2000,9,0
A,A194200,2000,27,25
A,A194400,2000,9,30
A,A194500,2000,21,18
A,A194600,2000,6,18
A,A194700,2000,9,85
A,A194800,2000,12,18
A,A194900,2000,9,6
A,A195000,2000,21,15
A,A195100,2000,21,9
A,A195200,2000,12,18
A,A195300,2000,3,0
A,A195400,2000,51,95
A,A195500,2000,9,6
A,A195600,2000,24,21
A,A195700,2000,6,0
A,A195800,2000,6,18
A,A195900,2000,9,30
A,A196000,2000,15,0
A,A196100,2000,57,15
A,A196200,2000,3,25
A,A196300,2000,21,18
A,A196400,2000,18,0
A,A196500,2000,27,50
A,A196600,2000,9,0
A,A196700,2000,21,35
A,A196800,2000,6,0
A,A196900,2000,12,3
A,A197000,2000,6,3
A,A197100,2000,6,18
A,A197200,2000,9,18
A,A197300,2000,3,75
A,A197400,2000,12,25
A,A197500,2000,6,0
A,A197600,2000,3,0
A,A197700,2000,192,130
A,A197800,2000,18,18
A,A197900,2000,90,75
A,A198000,2000,21,40
A,A198100,2000,12,15
A,A198200,2000,12,25
A,A198400,2000,12,15
A,A198500,2000,6,9
A,A198600,2000,12,6
A,A198700,2000,69,130
A,A198800,2000,6,18
A,A198900,2000,3,12
A,A199000,2000,6,30
A,A199100,2000,6,45
A,A199200,2000,6,35
A,A199300,2000,12,70
A,A199400,2000,3,0
A,A199500,2000,3,12
A,A199600,2000,3,35
A,A199700,2000,6,0
A,A199800,2000,9,40
A,A199900,2000,0,0
A,A200000,2000,9,12
A,A200100,2000,24,70
A,A200200,2000,0,0
A,A200300,2000,0,0
A,A200400,2000,21,9
A,A200500,2000,0,0
A,A200600,2000,6,9
A,A200700,2000,9,30
A,A200800,2000,9,3
A,A200900,2000,0,3
A,A201000,2000,9,12
A,A201100,2000,9,30
A,A201200,2000,0,65
A,A201300,2000,6,15
A,A201400,2000,12,3
A,A201500,2000,21,25
A,A201600,2000,294,240
A,A201700,2000,135,150
A,A201800,2000,342,300
A,A201900,2000,111,50
A,A202000,2000,189,140
A,A202100,2000,111,70
A,A202200,2000,45,25
A,A202300,2000,252,180
A,A202400,2000,102,230
A,A202500,2000,36,75
A,A202600,2000,3,0
A,A202700,2000,21,25
A,A202800,2000,9,0
A,A202900,2000,9,30
A,A203000,2000,0,15
A,A203100,2000,75,65
A,A203200,2000,24,30
A,A203400,2000,192,150
A,A203500,2000,162,230
A,A203600,2000,24,120
A,A203700,2000,9,3
A,A203800,2000,6,12
A,A203900,2000,3,95
A,A204100,2000,180,160
A,A204200,2000,75,50
A,A204300,2000,36,110
A,A204400,2000,54,30
A,A204500,2000,141,190
A,A204600,2000,39,30
A,A204700,2000,66,140
A,A204800,2000,264,600
A,A204900,2000,54,120
A,A205000,2000,60,160
A,A205100,2000,267,840
A,A205200,2000,183,360
A,A205300,2000,180,730
A,A205400,2000,372,1050
A,A205500,2000,3,0
A,A205600,2000,36,240
A,A205700,2000,6,75
A,A205800,2000,9,21
A,A205900,2000,6,75
A,A206000,2000,9,0
A,A206100,2000,6,25
A,A206200,2000,12,3
A,A206300,2000,6,75
A,A206400,2000,6,12
A,A206500,2000,0,21
A,A206600,2000,18,12
A,A206700,2000,6,140
A,A206800,2000,15,120
A,A206900,2000,9,75
A,A207000,2000,24,75
A,A207100,2000,3,30
A,A207200,2000,6,50
A,A207300,2000,24,50
A,A207400,2000,201,320
A,A207600,2000,132,380
A,A207700,2000,45,35
A,A207800,2000,45,65
A,A207900,2000,81,200
A,A208000,2000,318,410
A,A208100,2000,213,280
A,A208200,2000,207,430
A,A208300,2000,243,460
A,A208400,2000,153,570
A,A208500,2000,108,360
A,A208600,2000,165,970
A,A208700,2000,159,430
A,A208800,2000,6,3
A,A208900,2000,9,18
A,A209000,2000,12,25
A,A209100,2000,9,20
A,A209200,2000,6,25
A,A209300,2000,39,220
A,A209400,2000,18,90
A,A209500,2000,6,50
A,A209600,2000,78,170
A,A209700,2000,15,80
A,A209800,2000,3,0
A,A209900,2000,9,15
A,A210000,2000,6,25
A,A210100,2000,30,210
A,A210200,2000,222,960
A,A210300,2000,9,35
A,A210400,2000,81,660
A,A210500,2000,24,80
A,A210600,2000,6,0
A,A210700,2000,9,50
A,A210800,2000,9,12
A,A210900,2000,6,3
A,A211000,2000,9,6
A,A211100,2000,12,50
A,A211200,2000,183,470
A,A211300,2000,36,230
A,A211400,2000,9,9
A,A211500,2000,21,30
A,A211600,2000,9,21
A,A211700,2000,15,210
A,A211800,2000,15,15
A,A211900,2000,21,95
A,A212000,2000,39,60
A,A212100,2000,15,9
A,A212200,2000,96,110
A,A212300,2000,99,160
A,A212400,2000,42,65
A,A212500,2000,0,40
A,A212600,2000,6,65
A,A212800,2000,9,25
A,A212900,2000,6,18
A,A213000,2000,12,18
A,A213100,2000,12,45
A,A213200,2000,24,35
A,A213300,2000,42,12
A,A213400,2000,6,40
A,A213500,2000,3,0
A,A213600,2000,6,0
A,A213700,2000,9,20
A,A213800,2000,0,0
A,A213900,2000,6,0
A,A214000,2000,3,3
A,A214100,2000,3,9
A,A214200,2000,3,0
A,A214300,2000,9,18
A,A214400,2000,9,25
A,A214500,2000,0,18
A,A214600,2000,9,30
A,A214700,2000,0,0
A,A214800,2000,3,30
A,A214900,2000,3,0
A,A215000,2000,6,45
A,A215100,2000,6,9
A,A215200,2000,3,9
A,A215300,2000,9,60
A,A215400,2000,114,270
A,A215500,2000,108,320
A,A215600,2000,312,580
A,A215700,2000,66,70
A,A215800,2000,57,55
A,A215900,2000,267,350
A,A216000,2000,21,25
A,A216100,2000,279,530
A,A216200,2000,12,18
A,A216300,2000,6,3
A,A216400,2000,60,9
A,A216500,2000,18,3
A,A216600,2000,3,0
A,A216700,2000,153,75
A,A216800,2000,0,0
A,A216900,2000,0,0
A,A217000,2000,12,140
A,A217100,2000,3,3
A,A217200,2000,6,0
A,A217300,2000,3,0
A,A217400,2000,6,0
A,A217500,2000,3,0
A,A217600,2000,27,18
A,A217700,2000,18,9
A,A217800,2000,6,0
A,A217900,2000,9,21
A,A218000,2000,0,0
A,A218100,2000,3,0
A,A218200,2000,6,3
A,A218300,2000,30,12
A,A218400,2000,51,25
A,A218500,2000,21,3
A,A218600,2000,12,12
A,A218700,2000,12,3
A,A218800,2000,48,25
A,A218900,2000,18,3
A,A219000,2000,147,210
A,A219100,2000,156,60
A,A219200,2000,174,70
A,A219300,2000,159,60
A,A219400,2000,207,110
A,A219500,2000,309,110
A,A219600,2000,36,21
A,A219700,2000,153,70
A,A219800,2000,249,100
A,A219900,2000,225,190
A,A220000,2000,279,130
A,A220100,2000,24,9
A,A220200,2000,39,15
A,A220300,2000,9,0
A,A220400,2000,15,9
A,A220500,2000,516,330
A,A220600,2000,381,230
A,A220700,2000,27,21
A,A220800,2000,336,110
A,A220900,2000,231,120
A,A221000,2000,18,0
A,A221100,2000,183,85
A,A221200,2000,174,80
